what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1352161456780
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1352161457096
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1352161457346
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1352161457588
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1352161457802
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1352161458133
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1352161458346
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1352161459889
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1352161461287
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1352161462469
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1352161462700
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1352161463795
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1352161466239
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161476715
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161482960
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161484014
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161485234
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161517426
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161525614
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161549841
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161551106
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352161552016
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161559605
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161564620
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161564920
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161565388
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161565705
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161566252
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161573444
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161577785
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161642687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161643769
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352161663188
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161684371
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161757657
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352161801273
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161820485
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161821240
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161821629
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161823694
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161824108
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161826608
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161841310
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161847372
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1352161940118
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1352161965824
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1352161967426
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352161969719
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352161977040
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161982746
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161984758
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1352161984765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161987638
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161995320
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352161995820
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352162015063
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352162029444
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352162034352
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352162043971
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352162044565
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352162044827
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352162069761
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352162078331
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352162084657
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352162104156
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352162108053
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1352162114900
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352162118483
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352162120067
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1352162120076
error,log,,,"JavaBuilder handling CoreException while cleaning: PolandB04",1352162120083
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: PolandB04",1352162120226
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352162121407
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352162128783
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352162132432
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352162134332
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1352162134340
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352162136160
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352162141676
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352162142314
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352162151496
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352162166521
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352162199428
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352162203658
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1352162289966
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1352162301889
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352162324163
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352162339453
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352162341390
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1352162346816
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352162366591
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352162367398
